n,t,Term,id,paper_list,affiliation
Ann Christine Catlin,performance data; alternative data mining; associated performance data; processing performance data; stream data type; video data; video data type; video query processing; abstract data type; data selection,"['perform', 'data', 'altern', 'data', 'mine', 'associ', 'perform', 'data', 'process', 'perform', 'data', 'stream', 'data', 'type', 'video', 'data', 'video', 'data', 'type', 'video', 'queri', 'process', 'abstract', 'data', 'type', 'data', 'select']",22651,"1. SoftLab—a virtual laboratory for computational science, 2. Network-Based Scientific Computing, 3. Problem-solving environments, 4. Video query processing in the VDBMS testbed for video database research, 5. The Indiana Center for Database Systems at Purdue University","Purdue Univ., West Lafayette, IN
"
Sven Kosub,boolean hierarchy; interval size function; polynomial time; polynomial-time adjacency check; computation path; cluster computing; partition class; P function; NP ProblemsThe boolean hierarchy; generalized boolean hierarchy,"['boolean', 'hierarchi', 'interv', 'size', 'function', 'polynomi', 'time', 'polynomial-tim', 'adjac', 'check', 'comput', 'path', 'cluster', 'comput', 'partit', 'class', 'p', 'function', 'np', 'problemsth', 'boolean', 'hierarchi', 'gener', 'boolean', 'hierarchi']",22676,"1. A note on unambituous function classes, 2. The Complexity of Computing the Size of an Interval, 3. Uniformly Defining Complexity Classes of Functions, 4. The Boolean Hierarchy of NP-Partitions, 5. On NP-Partitions over Posets with an Application to Reducing the Set of Solutions of NP Problems","Institut für Informatik, Technische Universität München, Boltzmannstraße 3, D85748 Garching b. München, Germany;University of Konstanz, Konstanz
"
Ching-Tang Hsieh,various image; digital image; novel image; proposed method; fast image restoration; fuzzy feature image encoder; image data; image data transmission; image quality; image repair,"['variou', 'imag', 'digit', 'imag', 'novel', 'imag', 'propos', 'method', 'fast', 'imag', 'restor', 'fuzzi', 'featur', 'imag', 'encod', 'imag', 'data', 'imag', 'data', 'transmiss', 'imag', 'qualiti', 'imag', 'repair']",22695,"1. A neuro-fuzzy approach to speech recognition without time alignment, 2. Using SOAP and .NET Web Service to Build SCORM RTE and LMS, 3. Feedback and Analysis from Assessment Metadata in E-Learning, 4. An Effective Method to Extract Fingerprint Singular Point, 5. Embedded Image Compression Using The Important-Oriented-Tree","Tamkang University
"
N. Bassiliades,Semantic Web; Semantic Web technology; Web service; multi-agent system; defeasible logic; defeasible logic rule base; Semantic Web standard; semantic Web service; Automated Semantic Web Service; Semantic Web application,"['semant', 'web', 'semant', 'web', 'technolog', 'web', 'servic', 'multi-ag', 'system', 'defeas', 'logic', 'defeas', 'logic', 'rule', 'base', 'semant', 'web', 'standard', 'semant', 'web', 'servic', 'autom', 'semant', 'web', 'servic', 'semant', 'web', 'applic']",22703,"1. CoLan: a functional constraint language and its implementation, 2. PRACTIC: a concurrent object data model for a parallel object-oriented database system, 3. Hierarchical query execution in a parallel object-oriented database system, 4. Processing production rules in DEVICE, 5. an active knowledge base system","Aristotle Univ. of Thessaloniki, Greece;IEEE
"
Ligang Zhou,credit risk; credit risk analysis; credit risk assessment; ensemble model; credit risk evaluation; credit risk evaluation system; quantitative credit; SVM-based credit; consumer credit; credit card application approval,"['credit', 'risk', 'credit', 'risk', 'analysi', 'credit', 'risk', 'assess', 'ensembl', 'model', 'credit', 'risk', 'evalu', 'credit', 'risk', 'evalu', 'system', 'quantit', 'credit', 'svm-base', 'credit', 'consum', 'credit', 'credit', 'card', 'applic', 'approv']",22713,"1. A Two-Phase Model Based on SVM and Conjoint Analysis for Credit Scoring, 2. Credit scoring using support vector machines with direct search for parameters selection, 3. Weighted LS-SVM Credit Scoring Models with AUC Maximization by Direct Search, 4. Simulated Annealing Based Rule Extraction Algorithm for Credit Scoring Problem, 5. Multi-Agent Ensemble Models Based on Weighted Least Square SVM for Credit Risk Assessment","Department of Management Sciences, City University of Hong Kong, Hong Kong
"
Asaf Levin,approximation algorithm; bin packing problem; tree problem; greedy algorithm; ADM minimization problem; k-complete problem; set cover problem; 4-set cover problem; coloring problem; minimum latency problem,"['approxim', 'algorithm', 'bin', 'pack', 'problem', 'tree', 'problem', 'greedi', 'algorithm', 'adm', 'minim', 'problem', 'k-complet', 'problem', 'set', 'cover', 'problem', '4-set', 'cover', 'problem', 'color', 'problem', 'minimum', 'latenc', 'problem']",22724,"1. Subgraphs decomposable into two trees andk-edge-connected subgraphs, 2. Synthesis of 2-Commodity Flow Networks, 3. Minimum Restricted Diameter Spanning Trees, 4. An Efficient Polynomial Time Approximation Scheme for the Constrained Minimum Spanning Tree Problem Using Matroid Intersection, 5. Minimum restricted diameter spanning trees","School of Mathematical Sciences, Department of Statistics and Operations Research, TelAviv University, Ramat Aviv, TelAviv 69978, Israel;The Hebrew University, Jerusalem, Israel;levinas@mscc.huji.ac.il;Faculty of Industrial Engineering and Management, The Technion, 32000 Haifa, Israel;levinas@ie.technion.ac.il
"
A L Levin,extraordinary vertex; subdivision scheme; C2 subdivision; new subdivision scheme; subdivision surface; polynomial reproduction; Catmull-Clark subdivision surface; Loop subdivision; Modified subdivision surface; combined subdivision scheme,"['extraordinari', 'vertex', 'subdivis', 'scheme', 'c2', 'subdivis', 'new', 'subdivis', 'scheme', 'subdivis', 'surfac', 'polynomi', 'reproduct', 'catmull-clark', 'subdivis', 'surfac', 'loop', 'subdivis', 'modifi', 'subdivis', 'surfac', 'combin', 'subdivis', 'scheme']",22726,1. A note on real vs complex best Chebyshev approximation on an interval,"Everyman's Univ. TelAviv, Israel;Everyman's Univ., Tel Aviv, Israel;Tel Aviv University;Mathematics Department, The Open University of Israel, Ramat Aviv, Tel Aviv, Israel;Cadent, 17 HYata'assiya St., Or Yehuda, 60408, Israel;Cadent Ltd., Or Yehuda, Israel;Cadent Ltd.;Cadent Ltd., 17 Ha'taasiya st., Or Yehuda 60212, Israel;Cadent Ltd, OrYehuda, Israel
"
Anat Levin,Natural Image; sharp image; all-focus image; class-specific image information; input image; latent image; natural image denoising; natural image matting; natural image statistic; spectral image segmentation algorithm,"['natur', 'imag', 'sharp', 'imag', 'all-focu', 'imag', 'class-specif', 'imag', 'inform', 'input', 'imag', 'latent', 'imag', 'natur', 'imag', 'denois', 'natur', 'imag', 'mat', 'natur', 'imag', 'statist', 'spectral', 'imag', 'segment', 'algorithm']",22727,"1. Principal Component Analysis over Continuous Subspaces and Intersection of Half-Spaces, 2. Revisiting Single-View Shape Tensors: Theory and Applications, 3. Manifold Pursuit: A New Approach to Appearance Based Recognition, 4. Unsupervised Improvement of Visual Detectors using Co-Training, 5. Learning How to Inpaint from Global Image Statistics","The Hebrew University of Jerusalem;Computer Science and Artificial Intelligence Laboratory;MIT, cambridge;MIT CSAIL and Weizmann Institute;Dep. of Computer Science and Applied Math, The Weizmann Institute of Science;Weizmann Institute, Germany
"
Weishan Zhang,mobile device; mobile game; Product Line; software product line; Semantic Web; industrial mobile game; mobile Role-Playing-Game; mobile game software; ontology evolution; pervasive computing environment,"['mobil', 'devic', 'mobil', 'game', 'product', 'line', 'softwar', 'product', 'line', 'semant', 'web', 'industri', 'mobil', 'game', 'mobil', 'role-playing-gam', 'mobil', 'game', 'softwar', 'ontolog', 'evolut', 'pervas', 'comput', 'environ']",22740,"1. XVCL: XML-based variant configuration language, 2. Reengineering a PC-Based System into the Mobile Device Product Line, 3. Architecturally Reconfigurable Development of Mobile Games, 4. Product Line Based Ontology Development for Semantic Web Service, 5. Product Line Based Ontology Reuse in Context-aware E-business Environment","Tongji University, Shanghai, China;Aarhus University,
"
Kaladhar Voruganti,Policy-based storage management; IP storage area network; storage area network; system administrator; storage management; data corruption; data recovery; scalable data structure; archival storage system; low level storage device,"['policy-bas', 'storag', 'manag', 'ip', 'storag', 'area', 'network', 'storag', 'area', 'network', 'system', 'administr', 'storag', 'manag', 'data', 'corrupt', 'data', 'recoveri', 'scalabl', 'data', 'structur', 'archiv', 'storag', 'system', 'low', 'level', 'storag', 'devic']",22783,"1. An Asynchronous Avoidance-Based Cache Consistency Algorithm for Client Caching DBMSs, 2. An Adaptive Hybrid Server Architecture for Client Caching ODBMSs, 3. An adaptive hybrid server architecture for client-server object database management systems, 4. An Adaptive Data-Shipping Architecture for Client Caching Data Management Systems, 5. Land below a DBMS","IBM Almaden Research Laboratory, San Jose, USA. <rfc822>kaladhar@us.ibm.com</rfc822>;IBM Research Division, Almaden Research <sc>Center</sc>, 650 Harry Road, San Jose, California 95120;Network Appliance;NetApp, Sunnyvale, CA;NetApp, Inc.;NetApp Inc., SanJose;Advanced Technology Group, NetApp Inc.;NetApp Inc., Advanced Technology Group, Sunnyvale, USA
"
M. Sermesant,cardiac electrophysiology; electromechanical model; macroscopic model; model parameter; cardiac function; MRI-Based model; Mitchell-Schaeffer model; biomechanical model; fast electrophysiological model; heart model,"['cardiac', 'electrophysiolog', 'electromechan', 'model', 'macroscop', 'model', 'model', 'paramet', 'cardiac', 'function', 'mri-bas', 'model', 'mitchell-schaeff', 'model', 'biomechan', 'model', 'fast', 'electrophysiolog', 'model', 'heart', 'model']",22793,"1. Anisotropic filtering for model-based segmentation of 4D cylindrical echocardiographic images, 2. Biomechanical Model Construction from Different Modalities: Application to Cardiac Images, 3. An Electro-mechanical Model of the Heart for Cardiac Image Analysis, 4. Towards Model-Based Estimation of the Cardiac Electro-Mechanical Activity from ECG Signals and Ultrasound Images, 5. Quantitative comparison of two cardiac electrophysiology models using personalisation to optical and MR data","INRIAEpidaure, 2004 route des Lucioles, BP 93, 06902 Sophia Antipolis Cedex, France;INRIA  Asclepios Research Project, Sophia Antipolis, , France and King's College London, Cardiac MR Research Group, Guy's Hospital, London, UK;ASCLEPIOS project, INRIA Sophia Antipolis, France and Division of Imaging Science, King's College, London, UK;INRIAMéditerranée, Asclepios Project, Sophia Antipolis, France;INRIA, Sophia Antipolis, France and King's College London, St Thomas Hospital, Division of Imaging Sciences, London, UK;Research Centre, Ascöepios Team, Inria Sophia Antipolis Méditerranée, 2004 Route des Lucioles, Sophia Antipolis Cedex, ON, France;Inria Méditerranée, ASCLEPIOS Project, Sophia Antipolis, France;Inria  Asclepios Project, France
"
H. Wong,online analytical mining; FCPLR model; FCR model; analytical model; e-customer behavior model; mental cognitive model; coefficient function; initial estimator; combination forecast; GARCH model,"['onlin', 'analyt', 'mine', 'fcplr', 'model', 'fcr', 'model', 'analyt', 'model', 'e-custom', 'behavior', 'model', 'mental', 'cognit', 'model', 'coeffici', 'function', 'initi', 'estim', 'combin', 'forecast', 'garch', 'model']",22796,"1. Convergence of a feasible directions algorithm for relaxed controls in time-lag systems, 2. Optimal control computation for parabolic systems with boundary conditions involving time delays, 3. An inductive learning system—ils, 4. Adaptive program vs. learner control strategy on computer aided learning of gravimetric stoichiometry problems, 5. Homogeneous multiprocessor system: a status report","The Hong Kong Polytechnic University;Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong, China
"
A. Kuehlmann,equivalence checking; logic synthesis; transition relation; experimental result; technology mapping; formal equivalence checking; property checking; Boolean reasoning; mixed Boolean; high-level synthesis,"['equival', 'check', 'logic', 'synthesi', 'transit', 'relat', 'experiment', 'result', 'technolog', 'map', 'formal', 'equival', 'check', 'properti', 'check', 'boolean', 'reason', 'mix', 'boolean', 'high-level', 'synthesi']",22821,"1. Timing analysis in high-level synthesis, 2. ""Control optimization in high-level synthesis using behavioral dont cares"", 3. Verity—a formal verification program for custom CMOS circuits, 4. High-level synthesis in an industrial environment, 5. Design Of Provably Correct Storage Arrays","IBM Thomas J. Watson Research Center, Yorktown Heights, N.Y.;Cadence Berkeley Labs, Berkeley, CA;University of California at Berkeley, CA;Fraunhofer Institute of Microelectronic Circuits and Systems, Duisburg, FRG;Sch. of Comput. Sci. & Eng., New South Wales Univ., Sydney, NSW, Australia;Cadence Laboratories;Cadence Berkeley Labs Cadence;Cadence Research Laboratory Berkeley, CA;Cadence Research Labs,;R&D, Coverity, San Francisco, CA
"
Matt DeVos,n log n; p k; graph G; Cayley sum graph; cubic graph; Average Degree; minimum degree; size k; quadratic entropy; Clebsch graph,"['n', 'log', 'n', 'p', 'k', 'graph', 'g', 'cayley', 'sum', 'graph', 'cubic', 'graph', 'averag', 'degre', 'minimum', 'degre', 'size', 'k', 'quadrat', 'entropi', 'clebsch', 'graph']",22856,"1. Matrix choosability, 2. Extending partial 3-colourings in a planar graph, 3. Excluding any graph as a minor allows a low tree-width 2-coloring, 4. Circular Coloring the Plane, 5. Finding one tight cycle","Applied Math Department, Princeton University, Princeton, NJ;Simon Fraser University, Burnaby, B.C.
"
Harald Devos,scalable video; scalable video codec; dedicated hardware; hardware implementation; reconfigurable hardware; memory hierarchy; complete video delivery chain; conventional video codecs; encoded video stream; original encoded video stream,"['scalabl', 'video', 'scalabl', 'video', 'codec', 'dedic', 'hardwar', 'hardwar', 'implement', 'reconfigur', 'hardwar', 'memori', 'hierarchi', 'complet', 'video', 'deliveri', 'chain', 'convent', 'video', 'codec', 'encod', 'video', 'stream', 'origin', 'encod', 'video', 'stream']",22896,"1. A Hardware-Friendly Wavelet Entropy Codec for Scalable Video, 2. Hardware implementation of an EAN-13 bar code decoder, 3. Modeling subbands of a wavelet based scalable video codec, 4. Loop Transformations to Reduce the Dynamic FPGA Recon?guration Overhead, 5. Finding and Applying Loop Transformations for Generating Optimized FPGA Implementations","ELISPARIS, Ghent University, Belgium
"
Behzad Kamgar-Parsi,training set; new algorithm; best match; synthetic image; underwater imaging; unseen face; large number; face recognition; corresponding line segment; line set,"['train', 'set', 'new', 'algorithm', 'best', 'match', 'synthet', 'imag', 'underwat', 'imag', 'unseen', 'face', 'larg', 'number', 'face', 'recognit', 'correspond', 'line', 'segment', 'line', 'set']",22931,"1. Simultaneous fitting of several planes to point sets using neural networks, 2. Matching general polygonal arcs, 3. Quantization Error in Hexagonal Sensory Configurations, 4. Evaluation of quantization error in computer vision, 5. Surface recognition (of rough terrain) in range image shadows","Naval Research Laboratory, Washington, DC; ;Office of Naval Research, Arlington, VA
"
William H. DeLone,user requirements dynamism; negative effect; global team; Success Model; e-commerce success metrics; success measurement; global boundary complexity; global collaboration environment; global context; global environment,"['user', 'requir', 'dynam', 'neg', 'effect', 'global', 'team', 'success', 'model', 'e-commerc', 'success', 'metric', 'success', 'measur', 'global', 'boundari', 'complex', 'global', 'collabor', 'environ', 'global', 'context', 'global', 'environ']",22949,"1. Determinants of success for computer usage in small business, 2. Sources of dissatisfaction in end-user support: an empirical study, 3. Firm size and the characteristics of computer use, 4. Task Environment Complexity, 5. Global Team Dispersion","American University
"
Th. Buzug,registration result; CT image; statistical shape model; proposed method; motion detection; image-guided surgery; projection plane; quantitative evaluation; training shape; 3-D registration,"['registr', 'result', 'ct', 'imag', 'statist', 'shape', 'model', 'propos', 'method', 'motion', 'detect', 'image-guid', 'surgeri', 'project', 'plane', 'quantit', 'evalu', 'train', 'shape', '3-d', 'registr']",22973,"1. Comparison of algorithms calculating optimal embedding parameters for delay time coordinates, 2. Characterization of experimental time series from Taylor-Couette flow, 3. Mutual information and global strange attractors in Taylor-Couette flow","Institute of Medical Engineering, University of Lübeck, Lübeck, Germany
"
L. Grasedyck,mathcal H; low rank matrix; populated matrix; approximate matrix arithmetic; dense matrix; dense stiffness matrix; hierarchical matrix; low-rank matrix; matrix block partition; matrix data,"['mathcal', 'h', 'low', 'rank', 'matrix', 'popul', 'matrix', 'approxim', 'matrix', 'arithmet', 'dens', 'matrix', 'dens', 'stiff', 'matrix', 'hierarch', 'matrix', 'low-rank', 'matrix', 'matrix', 'block', 'partit', 'matrix', 'data']",22976,"1. Solution of large scale algebraic matrix Riccati equations by use of hierarchical matrices, 2. Adaptive Geometrically Balanced Clustering of H-Matrices, 3. Adaptive Recompression of **-Matrices for BEM, 4. Existence and computation of low Kronecker-rank approximations for large linear systems of tensor product structure, 5. A structured low-rank wavelet solver for the Ornstein-Zernike integral equation","MaxPlanckInstitute for Mathematics in the Sciences, Inselstr. 2226, D04103 Leipzig, Germany;MaxPlanckInstitut für Mathematik in den Naturwissenschaften, Inselstrasse 2226, 04109, Leipzig, Germany;MaxPlanckInstituie for Mathematics in the Sciences, Leipzig Germany
"
Larry Eshelman,genetic search; crossover landscapeA study; shuffle crossover; hidden bias; new crossover operator; shuffle crossoverThe traditional crossover; traditional crossover; traditional crossover operator; bias result; dcfining-length bias,"['genet', 'search', 'crossov', 'landscapea', 'studi', 'shuffl', 'crossov', 'hidden', 'bia', 'new', 'crossov', 'oper', 'shuffl', 'crossoverth', 'tradit', 'crossov', 'tradit', 'crossov', 'tradit', 'crossov', 'oper', 'bia', 'result', 'dcfining-length', 'bia']",23052,"1. MOLE: a tenacious knowledge-acquisition tool, 2. MOLE: a knowledge acquisition tool that buries certainty factors","CarnegieMellon Univ., Pittsburgh, PA;Philips Laboratories, North American Philips Corporation, New York
"
Alicia Villanueva,tccp program; concurrent constraint language; Concurrent Constraint paradigm; model checking; tccp programsThe; reactive system; associated tccp; model checking tccp program; over-and under-approximating tccp model; pure tccp,"['tccp', 'program', 'concurr', 'constraint', 'languag', 'concurr', 'constraint', 'paradigm', 'model', 'check', 'tccp', 'programsth', 'reactiv', 'system', 'associ', 'tccp', 'model', 'check', 'tccp', 'program', 'over-and', 'under-approxim', 'tccp', 'model', 'pure', 'tccp']",23070,"1. A semantic framework for the abstract model checking of tccp programs, 2. Automatic verification of timed concurrent constraint programs, 3. Model checking for the concurrent constraint paradigm: Thesis, 4. Book review: Verification of Reactive Systems by SchneiderKlausSpringer Verlag, 5. 2003","DSIC, Technical University of Valencia Camino de Vera s/n, Spain;Dep. Sistemas Informáticos y Computación, Technical University of Valencia, Camino de Vera s/n. E46022 Valencia, Spain (email: villanue@dsic.upv.es)
"
Einat Amitay,search engine; social search engine; efficient search; ethicsSocial search; faceted search; information search; multifaceted search; search engine user community; search engines track; search space,"['search', 'engin', 'social', 'search', 'engin', 'effici', 'search', 'ethicssoci', 'search', 'facet', 'search', 'inform', 'search', 'multifacet', 'search', 'search', 'engin', 'user', 'commun', 'search', 'engin', 'track', 'search', 'space']",23082,"1. Automatically summarising Web sites: is there a way around it?, 2. Trends, 3. fashions, 4. patterns, 5. norms","Division of Information and Communication Sciences, Macquarie University, NSW 2109, Australia;IBM Research Labs, Haifa, Israel;IBM Haifa Research Lab, Mount Carmel, Haifa, Israel;IBM Research, Israel
"
Liliana Ironi,qualitative model; Qualitative Simulation; system dynamic; Qualitative Reasoning; qualitative simulationThe main problem; model-based system; experimental data; classical qualitative analysis; conventional qualitative simulation; qualitative future,"['qualit', 'model', 'qualit', 'simul', 'system', 'dynam', 'qualit', 'reason', 'qualit', 'simulationth', 'main', 'problem', 'model-bas', 'system', 'experiment', 'data', 'classic', 'qualit', 'analysi', 'convent', 'qualit', 'simul', 'qualit', 'futur']",23114,"1. A hybrid input-output approach to model metabolic systems: an application to intracellular Thiamine kinetics, 2. A Qualitative-Fuzzy Framework for Nonlinear Black-Box System Identification, 3. Learning from Data Through the Integration of Qualitative Models and Fuzzy Systems, 4. Generating Explanations of Pathophysiological Systems Behaviors from Qualitative Simulation of Compartmental Models, 5. Model-based assessment of physicochemical properties of drug delivery materials","Laboratorio di Analisi Numerica del CNR, Pavia (Italy);Istituto di Analisi Numerica C.N.R.  Pavia, Italy
"
Heri Ramampiaro,biomedical information; biomedical information retrieval; information need; information retrieval technique; well-established information retrieval; cooperative work; final system; transaction model; target entity; available biomedical information,"['biomed', 'inform', 'biomed', 'inform', 'retriev', 'inform', 'need', 'inform', 'retriev', 'techniqu', 'well-establish', 'inform', 'retriev', 'cooper', 'work', 'final', 'system', 'transact', 'model', 'target', 'entiti', 'avail', 'biomed', 'inform']",23136,"1. Cooperative Database System: A Constructive Review of Cooperative Transaction Models, 2. CAGISTrans: Providing Adaptable Transactional Support for Cooperative Work – an Extended Treatment, 3. Biomedical information retrieval: the BioTracer approach, 4. Event Clusters Detection on Flickr Images Using a Suffix-Tree Structure, 5. Supporting biomedical information retrieval: the bioTracer approach","Department of Computer and Information Science, Norwegian University of Science and Technology (NTNU) <rfc822>heri@computer.org</rfc822>;NTNU Trondheim
"
Abo-el-nour N. Abd-alla,magnetic field; Rayleigh wave; stress wave; long bone; initial stress; Love wave; Magnetoelastic longitudinal wave propagation; Stoneley wave; electro-mechanical wave propagation; electromechanical wave propagation,"['magnet', 'field', 'rayleigh', 'wave', 'stress', 'wave', 'long', 'bone', 'initi', 'stress', 'love', 'wave', 'magnetoelast', 'longitudin', 'wave', 'propag', 'stoneley', 'wave', 'electro-mechan', 'wave', 'propag', 'electromechan', 'wave', 'propag']",23182,"1. Torsional wave propagation in an orthotropic magneto-elastic hollow circular cylinder, 2. Magnetoelastic longitudinal wave propagation in a transversely isotropic circular cylinder","Mathematics Department, Faculty of Science, Sohag, Egypt
"
Ming-Wen Shao,formal context; concept lattice; formal concept; attribute reduction; formal concept analysis; fuzzy formal context; rough set theory; knowledge reduction; real decision; formal decision context,"['formal', 'context', 'concept', 'lattic', 'formal', 'concept', 'attribut', 'reduct', 'formal', 'concept', 'analysi', 'fuzzi', 'formal', 'context', 'rough', 'set', 'theori', 'knowledg', 'reduct', 'real', 'decis', 'formal', 'decis', 'context']",23187,"1. Dominance relation and rules in an incomplete ordered information system, 2. The Approximation Operators Within Formal Contexts, 3. Set approximations in fuzzy formal concept analysis, 4. Multi-level Formal Concepts in Fuzzy Formal Contexts, 5. Two Types of Generalized Variable Precision Formal Concepts","Institute for Information and System Sciences, Faculty of Science, Xi'an Jiaotong University, Xi'an, Shaan'xi 710049, P. R. China;Department of Automation, Tsinghua University, Beijing, 100084, PR China;Jiangxi University of Finance & Economics, Nanchang, China;Shihezi University, College of Information Science and Technology, 832000, Shihezi, Xinjiang, People’s Republic of China;Computer Engineering Institute, Qingdao Technological University, Qingdao, Shandong, P.R. China and College of Information Science and Technology, Shihezi University, Shihezi, Xinjiang, P.R. China
"
Michael Levin,active property checking; program path; whitebox fuzzing; efficient implementation; regular type; XML document; XML processing; XML tree; program execution; symbolic execution,"['activ', 'properti', 'check', 'program', 'path', 'whitebox', 'fuzz', 'effici', 'implement', 'regular', 'type', 'xml', 'document', 'xml', 'process', 'xml', 'tree', 'program', 'execut', 'symbol', 'execut']",23193,"1. An experimental whole-arm manipulator, 2. The design and control of an experimental whole-arm manipulator, 3. Sources of competitive advantage in knowledge-based industries: microcomputer software, 4. ""Writers Internet SourceBook"", 5. The Guide to the Jewish Internet with 3.5 Disk","Department of Computer and Information Science, University of Pennsylvania;Boulder, Colorado;Department of Mathematics, Harvard University, Cambridge, Massachussets;Microsoft Center for Software Excellence, Redmond, WA, USA;Windows Azure Engineering Infrastructure
"
Susan Gasson,information system; IT system; social cognition; boundary-spanning design; boundary-spanning design group; design activity; design definition; design emergence; design goal-definition; design initiative,"['inform', 'system', 'it', 'system', 'social', 'cognit', 'boundary-span', 'design', 'boundary-span', 'design', 'group', 'design', 'activ', 'design', 'definit', 'design', 'emerg', 'design', 'goal-definit', 'design', 'initi']",23214,"1. The reality of user-centered design, 2. Framing design: a social process view of information system development, 3. A social action model of situated information systems design, 4. The Management of Distributed Organizational Knowledge, 5. The impact of E-commerce technology on the air travel industry","Binghamton University;Drexel University
"
Lori Levin,statistical system; unsupervised morphology induction system; machine translation; African language; language technology; natural language processing; research system; speech-to-speech translation system; speech translation; Morpho Challenge,"['statist', 'system', 'unsupervis', 'morpholog', 'induct', 'system', 'machin', 'translat', 'african', 'languag', 'languag', 'technolog', 'natur', 'languag', 'process', 'research', 'system', 'speech-to-speech', 'translat', 'system', 'speech', 'translat', 'morpho', 'challeng']",23216,"1. The Janus-III Translation System: Speech-to-Speech Translation in Multiple Domains, 2. Experiments with a Hindi-to-English transfer-based MT system under a miserly data scenario, 3. MT for Minority Languages UsingElicitation-Based Learning of SyntacticTransfer Rules, 4. Ambiguity resolution in the dmTrans Plus, 5. The correct place of lexical semantics in interlingual MT","Language Technologies Institute, Carnegie Mellon University, 5000 Forbes Avenue,  Pittsburgh, PA 152133891, USA;Carnegie Mellon University and IRST ITC, Trento, Italy;Language Technology Institute, Pittsburgh, PA 15213;Language Technologies Institute, Pittsburgh, PA;LTI, CMU
"
Li Xiong,data privacy; data privacy community; data sharing; data provider; data subject; unstructured data; data confidentiality; data operations infrastructure; data query infrastructure; heterogeneous data source,"['data', 'privaci', 'data', 'privaci', 'commun', 'data', 'share', 'data', 'provid', 'data', 'subject', 'unstructur', 'data', 'data', 'confidenti', 'data', 'oper', 'infrastructur', 'data', 'queri', 'infrastructur', 'heterogen', 'data', 'sourc']",23231,"1. Querying multiple bioinformatics information sources: can semantic web research help?, 2. A reputation-based trust model for peer-to-peer ecommerce communities [Extended Abstract], 3. PeerTrust: Supporting Reputation-Based Trust for Peer-to-Peer Electronic Communities, 4. ExchangeGuard: A Distributed Protocol for Electronic Fair-Exchange, 5. TrustGuard: countering vulnerabilities in reputation management for decentralized overlay networks","Georgia Institute of Technology, Atlanta, GA;Emory University;College of Mechanical and Electrical Engineering, China Jiliang University, China Institute of Metrology, Hangzhou, China;Zhejiang University of Technology, Hangzhou, China
"
A. Mosquera,feature vector; texture pattern; automatic classification; classification rate; film lipid layer; active net; ETH-80 objects database; proposed method; art texture description method; color texture analysis,"['featur', 'vector', 'textur', 'pattern', 'automat', 'classif', 'classif', 'rate', 'film', 'lipid', 'layer', 'activ', 'net', 'eth-80', 'object', 'databas', 'propos', 'method', 'art', 'textur', 'descript', 'method', 'color', 'textur', 'analysi']",23232,"1. Molecular mechanics of peroxides. II. Cyclic compounds, 2. Self-organizing feature maps for texture image segmentation, 3. The Markov Random Fields in Functional Neighbors as a Texture Model: Applications in Texture Classification, 4. Proportionate flow shop games, 5. Cost sharing in distribution problems for franchise operations","Universidad de Santiago de Compostela
"
Carlos Mosquera,dynamic spectrum leasing; secondary system; secondary transmitter; primary user; secondary user; primary system; centralized dynamic spectrum leasing; dynamic spectrum sharing; spectrum owner; secondary interference,"['dynam', 'spectrum', 'leas', 'secondari', 'system', 'secondari', 'transmitt', 'primari', 'user', 'secondari', 'user', 'primari', 'system', 'central', 'dynam', 'spectrum', 'leas', 'dynam', 'spectrum', 'share', 'spectrum', 'owner', 'secondari', 'interfer']",23234,"1. Analysis and synthesis tools for robust SPR discrete systems, 2. An algorithm for interpolation with positive rational functions on the imaginary axis, 3. The robust SPR problem: design algorithms and new applications, 4. Convergence analysis of the multiple-channel filtered-U recursive LMS algorithm for active noise control, 5. Editorial: signal processing in communications","Dpt. Teoría de la Señal y Comunicaciones, Universidad de Vigo, 36200 Vigo, Spain
"
Soon Ae Chun,government agency; Deep Web; Web service; public data; information sharing; government service; citizen data; social media data; Web page; Web resource,"['govern', 'agenc', 'deep', 'web', 'web', 'servic', 'public', 'data', 'inform', 'share', 'govern', 'servic', 'citizen', 'data', 'social', 'media', 'data', 'web', 'page', 'web', 'resourc']",23242,"1. A Chinese wall security model for decentralized workflow systems, 2. Customized geospatial workflows for e-government services, 3. A Study on the Indexing of Satellite Images at NASA Regional Application Center, 4. Protecting Privacy from Continuous High-resolution Satellite Surveillance, 5. Domain Knowledge-Based Automatic Workflow Generation","Rutgers University, Newark, NJ;Seton Hall University;IEEE Computer Society;Aff1 Aff2 Aff3;City University of New York, Staten Island, NY;CUNY, College of Staten Island, Staten Island, NY
"
